15:19:05 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/19 | streaming=true
15:26:52 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:59 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:05 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:12 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:18 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:24 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:31 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:37 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:43 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:50 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:27:56 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:02 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:09 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:15 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:21 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:28 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:34 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:40 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:46 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:53 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:28:59 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:05 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:11 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:17 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:24 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:30 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:36 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:42 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:49 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:29:55 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:01 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:08 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:14 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:20 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:26 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:33 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:39 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:45 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:51 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:30:58 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:04 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:10 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:17 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:23 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:29 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:36 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:42 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:48 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:31:55 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:01 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:07 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:14 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:20 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:26 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:33 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:39 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:45 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:52 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:32:58 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:33:04 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:33:11 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:33:17 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:33:23 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:33:30 | SEPs=AAC+SBC | cur=? (44100) | ldac(kbps/idx/adj)=n/a | streaming=
15:33:36 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:33:42 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/1 | streaming=true
15:33:48 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/2 | streaming=true
15:33:55 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/2 | streaming=true
15:34:01 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/2 | streaming=true
15:34:07 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/2 | streaming=true
15:34:14 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/3 | streaming=true
15:34:20 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:34:27 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:34:33 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:34:39 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/2 | streaming=true
15:34:45 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/2 | streaming=true
15:34:52 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/2 | streaming=true
15:34:58 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/3 | streaming=true
15:35:04 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/5 | streaming=true
15:35:11 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/7 | streaming=true
15:35:17 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/8 | streaming=true
15:35:23 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/9 | streaming=true
15:35:30 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/9 | streaming=true
15:35:36 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:35:42 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:35:48 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:35:55 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:36:01 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:36:07 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:36:14 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:50:19 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:50:25 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:50:31 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:50:37 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:50:44 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:50:50 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:50:56 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/4 | streaming=true
15:51:02 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/4 | streaming=true
15:51:09 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/4 | streaming=true
15:51:15 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/5 | streaming=true
15:51:21 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/5 | streaming=true
15:51:27 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/5 | streaming=true
15:51:34 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/7 | streaming=true
15:51:40 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/7 | streaming=true
15:51:46 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/10 | streaming=true
15:51:53 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/10 | streaming=true
15:51:59 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/11 | streaming=true
15:52:05 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/11 | streaming=true
15:52:12 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/11 | streaming=true
15:52:18 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/11 | streaming=true
15:52:24 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/14 | streaming=true
15:52:30 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/15 | streaming=true
15:52:37 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/15 | streaming=true
15:52:43 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=396/4/18 | streaming=true
15:52:49 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=396/4/18 | streaming=true
15:52:55 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/19 | streaming=true
15:53:02 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/19 | streaming=true
15:53:08 | SEPs=none | cur=?  | ldac(kbps/idx/adj)=n/a | streaming=
15:53:14 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/0 | streaming=false
15:53:21 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/1 | streaming=true
15:53:27 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/4 | streaming=true
15:53:33 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/5 | streaming=true
15:53:39 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/5 | streaming=true
15:53:45 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=396/4/9 | streaming=true
15:53:52 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=396/4/9 | streaming=true
15:53:58 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/10 | streaming=true
15:54:04 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/10 | streaming=true
15:54:10 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/10 | streaming=true
15:54:16 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/13 | streaming=true
15:54:23 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/13 | streaming=true
15:54:29 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/15 | streaming=true
15:54:35 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/15 | streaming=true
15:54:41 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/15 | streaming=true
15:54:47 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/15 | streaming=true
15:54:54 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/18 | streaming=true
15:55:00 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/18 | streaming=true
15:55:06 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/19 | streaming=true
15:55:12 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/19 | streaming=true
15:55:19 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/19 | streaming=true
15:55:25 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/20 | streaming=true
15:55:31 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/21 | streaming=true
15:55:37 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/23 | streaming=true
15:55:44 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/23 | streaming=true
15:55:50 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/23 | streaming=true
15:55:56 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=990/0/24 | streaming=true
15:56:02 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/26 | streaming=true
15:56:08 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/26 | streaming=true
15:56:15 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/27 | streaming=true
15:56:21 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/27 | streaming=true
15:56:27 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/27 | streaming=true
15:56:34 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/29 | streaming=true
15:56:40 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/29 | streaming=true
15:56:46 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/31 | streaming=true
15:56:52 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/31 | streaming=true
15:56:59 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/31 | streaming=true
15:57:05 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/34 | streaming=true
15:57:11 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/34 | streaming=true
15:57:17 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/34 | streaming=true
15:57:24 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/35 | streaming=true
15:57:30 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/35 | streaming=true
15:57:36 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/35 | streaming=true
